,track_name,track_id,track_number,popularity,artists,album_id,release_date,explicit,track_label,count
10,Indestructible,42ZVk59gT4tMlrZmd8Ijxf,1,70,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TOqt5oJwL9BE2NG9MEwDa'}, 'href': 'https://api.spotify.com/v1/artists/3TOqt5oJwL9BE2NG9MEwDa', 'id': '3TOqt5oJwL9BE2NG9MEwDa', 'name': 'Disturbed', 'type': 'artist', 'uri': 'spotify:artist:3TOqt5oJwL9BE2NG9MEwDa'}]",6hz9f6H7URtoigU517WjD6,2008-04-29,False,excited,38
11,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,1,86,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'}, 'href': 'https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5', 'id': '6l3HvQ5sa6mXTsMTB19rO5', 'name': 'J. Cole', 'type': 'artist', 'uri': 'spotify:artist:6l3HvQ5sa6mXTsMTB19rO5'}]",3XzSOIE6zGLliuqsVGLmUc,2019-01-23,True,excited,37
12,Better Now,7dt6x5M1jzdTEt8oCbisTK,9,87,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",6trNtQUgC8cgbWcqoMYkOR,2018-04-27,True,excited,37
13,Señorita,0TK2YIli7K1leLovkQiNik,1,94,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr'}, 'href': 'https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr', 'id': '7n2wHs1TKAczGzO7Dd2rGr', 'name': 'Shawn Mendes', 'type': 'artist', 'uri': 'spotify:artist:7n2wHs1TKAczGzO7Dd2rGr'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF'}, 'href': 'https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF', 'id': '4nDoRrQiYLoBzwC5BhVJzF', 'name': 'Camila Cabello', 'type': 'artist', 'uri': 'spotify:artist:4nDoRrQiYLoBzwC5BhVJzF'}]",2ZaX1FdZCwchXl1QZiD4O4,2019-06-21,False,excited,36
14,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,9,82,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'}, 'href': 'https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5', 'id': '6l3HvQ5sa6mXTsMTB19rO5', 'name': 'J. Cole', 'type': 'artist', 'uri': 'spotify:artist:6l3HvQ5sa6mXTsMTB19rO5'}]",7viNUmZZ8ztn2UB4XB3jIL,2014-12-09,True,excited,35
15,Stricken,6RJdYpFQwLyNfDc5FbjkgV,5,72,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TOqt5oJwL9BE2NG9MEwDa'}, 'href': 'https://api.spotify.com/v1/artists/3TOqt5oJwL9BE2NG9MEwDa', 'id': '3TOqt5oJwL9BE2NG9MEwDa', 'name': 'Disturbed', 'type': 'artist', 'uri': 'spotify:artist:3TOqt5oJwL9BE2NG9MEwDa'}]",0Te7OvzuUMnbsqCneIDUm6,2005-09-19,False,excited,34
16,Robbery,6Hj9jySrnFppAI0sEMCZpJ,8,89,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}]",1GYVNOzwhx1nMcIJDogSNp,2019-03-08,True,excited,34
17,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,5,82,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca'}, 'href': 'https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca', 'id': '13ubrt8QOOCPljQ2FL1Kca', 'name': 'A$AP Rocky', 'type': 'artist', 'uri': 'spotify:artist:13ubrt8QOOCPljQ2FL1Kca'}]",3MATDdrpHmQCmuOcozZjDa,2018-05-25,True,excited,34
18,Down with the Sickness,40rvBMQizxkIqnjPdEWY1v,4,74,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TOqt5oJwL9BE2NG9MEwDa'}, 'href': 'https://api.spotify.com/v1/artists/3TOqt5oJwL9BE2NG9MEwDa', 'id': '3TOqt5oJwL9BE2NG9MEwDa', 'name': 'Disturbed', 'type': 'artist', 'uri': 'spotify:artist:3TOqt5oJwL9BE2NG9MEwDa'}]",6IvosVciDOQ9NAPaKwhtLY,2000-02-25,True,excited,34
19,Suge,2gwkD6igEhQbDQegRCcdoB,2,87,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4r63FhuTkUYltbVAg5TQnk'}, 'href': 'https://api.spotify.com/v1/artists/4r63FhuTkUYltbVAg5TQnk', 'id': '4r63FhuTkUYltbVAg5TQnk', 'name': 'DaBaby', 'type': 'artist', 'uri': 'spotify:artist:4r63FhuTkUYltbVAg5TQnk'}]",0O1PJ0t69iTO5yWrIeIga0,2019-03-01,True,excited,33
20,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,1,80,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4TEJudQY2pXxVHPE3gD2EU'}, 'href': 'https://api.spotify.com/v1/artists/4TEJudQY2pXxVHPE3gD2EU', 'id': '4TEJudQY2pXxVHPE3gD2EU', 'name': 'BlocBoy JB', 'type': 'artist', 'uri': 'spotify:artist:4TEJudQY2pXxVHPE3gD2EU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}]",7GGoJfKFOwDNuiLjjfzyCS,2018-02-09,True,excited,33
21,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,3,93,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4r63FhuTkUYltbVAg5TQnk'}, 'href': 'https://api.spotify.com/v1/artists/4r63FhuTkUYltbVAg5TQnk', 'id': '4r63FhuTkUYltbVAg5TQnk', 'name': 'DaBaby', 'type': 'artist', 'uri': 'spotify:artist:4r63FhuTkUYltbVAg5TQnk'}]",1NsTSXjVNE7XmZ8PmyW0wl,2019-09-27,True,excited,33
22,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,12,84,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",5s0rmjP8XOPhP6HhqOhuyC,2016-12-09,True,excited,32
23,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2,89,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",35s58BRTGAEWztPo9WqCIs,2018-12-14,False,excited,31
24,Jumpman,27GmP9AWRs744SzKcpJsTZ,9,75,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i'}, 'href': 'https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i', 'id': '1RyvyyTE3xzB2ZywiAwp0i', 'name': 'Future', 'type': 'artist', 'uri': 'spotify:artist:1RyvyyTE3xzB2ZywiAwp0i'}]",1ozpmkWcCHwsQ4QTnxOOdT,2015-09-20,True,excited,31
25,Falling,4TnjEaWOeW0eKTKIEvJyCa,1,97,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7uaIm6Pw7xplS8Dy06V6pT'}, 'href': 'https://api.spotify.com/v1/artists/7uaIm6Pw7xplS8Dy06V6pT', 'id': '7uaIm6Pw7xplS8Dy06V6pT', 'name': 'Trevor Daniel', 'type': 'artist', 'uri': 'spotify:artist:7uaIm6Pw7xplS8Dy06V6pT'}]",1Czfd5tEby3DbdYNdqzrCa,2018-10-05,False,excited,31
26,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,2,84,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF'}, 'href': 'https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF', 'id': '4V8LLVI7PbaPR0K2TGSxFF', 'name': 'Tyler, The Creator', 'type': 'artist', 'uri': 'spotify:artist:4V8LLVI7PbaPR0K2TGSxFF'}]",5zi7WsKlIiUXv09tbGLKsE,2019-05-17,True,excited,31
27,SAD!,3ee8Jmje8o58CHK66QrVC2,4,87,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4'}, 'href': 'https://api.spotify.com/v1/artists/15UsOTVnJzReFVN1VCnxy4', 'id': '15UsOTVnJzReFVN1VCnxy4', 'name': 'XXXTENTACION', 'type': 'artist', 'uri': 'spotify:artist:15UsOTVnJzReFVN1VCnxy4'}]",2Ti79nwTsont5ZHfdxIzAm,2018-03-16,True,excited,30
28,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,3,82,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft'}, 'href': 'https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft', 'id': '1URnnhqYAYcrqrcwql10ft', 'name': '21 Savage', 'type': 'artist', 'uri': 'spotify:artist:1URnnhqYAYcrqrcwql10ft'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4DdkRBBYG6Yk9Ka8tdJ9BW'}, 'href': 'https://api.spotify.com/v1/artists/4DdkRBBYG6Yk9Ka8tdJ9BW', 'id': '4DdkRBBYG6Yk9Ka8tdJ9BW', 'name': 'Offset', 'type': 'artist', 'uri': 'spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp'}, 'href': 'https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp', 'id': '0iEtIxbK0KxaSlF7G42ZOp', 'name': 'Metro Boomin', 'type': 'artist', 'uri': 'spotify:artist:0iEtIxbK0KxaSlF7G42ZOp'}]",0MV1yCXcNNQBfwApqAVkH0,2017-10-30,True,excited,30
29,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,3,93,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}]",6tkjU4Umpo79wwkgPMV3nZ,2018-12-10,True,excited,30
30,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,2,86,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4'}, 'href': 'https://api.spotify.com/v1/artists/15UsOTVnJzReFVN1VCnxy4', 'id': '15UsOTVnJzReFVN1VCnxy4', 'name': 'XXXTENTACION', 'type': 'artist', 'uri': 'spotify:artist:15UsOTVnJzReFVN1VCnxy4'}]",5VdyJkLe3yvOs0l4xXbWp0,2017-08-25,True,excited,30
31,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,8,84,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'}, 'href': 'https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg', 'id': '2YZyLoL8N0Wb9xBt1NhZWg', 'name': 'Kendrick Lamar', 'type': 'artist', 'uri': 'spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg'}]",4eLPsYPBmXABThSJ821sqY,2017-04-14,True,excited,30
32,Circles,21jGcNKet2qwijlDFuPiPb,6,98,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",4g1ZRSobMefqF6nelkgibi,2019-09-06,False,excited,30
33,Without Me,5p7ujcrUXASCNwRaWNHR1C,1,88,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2'}, 'href': 'https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2', 'id': '26VFTg2z8YR0cCuwLzESi2', 'name': 'Halsey', 'type': 'artist', 'uri': 'spotify:artist:26VFTg2z8YR0cCuwLzESi2'}]",0zzrCTzvL4ZmR42xF46Afm,2018-10-04,True,excited,28
34,Heartless,57vxBYXtHMk6H1aD29V7PU,1,93,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'}, 'href': 'https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ', 'id': '1Xyo4u8uXC1ZmMpatF05PJ', 'name': 'The Weeknd', 'type': 'artist', 'uri': 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ'}]",7vRcickwa6GCfY1qKKe4lK,2019-11-27,True,excited,28
35,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,1,89,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'}, 'href': 'https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ', 'id': '0X2BH1fck6amBIoJhDVmmJ', 'name': 'Ellie Goulding', 'type': 'artist', 'uri': 'spotify:artist:0X2BH1fck6amBIoJhDVmmJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}]",29FoTD5vBY3Fq1QWhbl3FM,2019-06-26,False,excited,28
36,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,1,55,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",4FFBjcmX06VmazABtpRMyv,2019-07-05,True,excited,28
37,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,12,85,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK'}, 'href': 'https://api.spotify.com/v1/artists/5f7VJjfbwm532GiveGC0ZK', 'id': '5f7VJjfbwm532GiveGC0ZK', 'name': 'Lil Baby', 'type': 'artist', 'uri': 'spotify:artist:5f7VJjfbwm532GiveGC0ZK'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ'}, 'href': 'https://api.spotify.com/v1/artists/2hlmm7s2ICUX0LVIhVFlZQ', 'id': '2hlmm7s2ICUX0LVIhVFlZQ', 'name': 'Gunna', 'type': 'artist', 'uri': 'spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ'}]",2yXnY2NiaZk9QiJJittS81,2018-10-05,True,excited,28
38,Moonlight,0JP9xo3adEtGSdUEISiszL,3,86,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4'}, 'href': 'https://api.spotify.com/v1/artists/15UsOTVnJzReFVN1VCnxy4', 'id': '15UsOTVnJzReFVN1VCnxy4', 'name': 'XXXTENTACION', 'type': 'artist', 'uri': 'spotify:artist:15UsOTVnJzReFVN1VCnxy4'}]",2Ti79nwTsont5ZHfdxIzAm,2018-03-16,True,excited,27
39,Legends,1Knctxx9vGZxpZfF66BIEa,1,87,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}]",7zfsq2Hboh0SZMcWo2ASkD,2018-06-22,True,excited,27
40,High Hopes,1rqqCSm0Qe4I9rUvWncaom,4,87,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/20JZFwl6HVl6yg8a4H3ZqK'}, 'href': 'https://api.spotify.com/v1/artists/20JZFwl6HVl6yg8a4H3ZqK', 'id': '20JZFwl6HVl6yg8a4H3ZqK', 'name': 'Panic! At The Disco', 'type': 'artist', 'uri': 'spotify:artist:20JZFwl6HVl6yg8a4H3ZqK'}]",6ApYSpXF8GxZAgBTHDzYge,2018-06-22,False,excited,27
41,'Till I Collapse,4xkOaSrkexMciUUogZKVTS,18,84,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",2cWBwpqMsDJC1ZUwz813lo,2002-05-26,True,excited,27
42,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,12,81,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'}, 'href': 'https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY', 'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'type': 'artist', 'uri': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}]",41GuZcammIkupMPKH2OJ6I,2018-08-03,True,excited,26
43,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,16,84,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz'}, 'href': 'https://api.spotify.com/v1/artists/4O15NlyKLIASxsJ0PrXPfz', 'id': '4O15NlyKLIASxsJ0PrXPfz', 'name': 'Lil Uzi Vert', 'type': 'artist', 'uri': 'spotify:artist:4O15NlyKLIASxsJ0PrXPfz'}]",733e1ZfktLSwj96X5rsMeE,2017-08-25,True,excited,26
44,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,4,85,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I'}, 'href': 'https://api.spotify.com/v1/artists/31W5EY0aAly4Qieq6OFu6I', 'id': '31W5EY0aAly4Qieq6OFu6I', 'name': 'A Boogie Wit da Hoodie', 'type': 'artist', 'uri': 'spotify:artist:31W5EY0aAly4Qieq6OFu6I'}]",3r5hf3Cj3EMh1C2saQ8jyt,2018-12-21,True,excited,26
45,Stimulated,3vWtNiug49addenxdTmDXf,9,0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp'}, 'href': 'https://api.spotify.com/v1/artists/5LHRHt1k9lMyONurDHEdrp', 'id': '5LHRHt1k9lMyONurDHEdrp', 'name': 'Tyga', 'type': 'artist', 'uri': 'spotify:artist:5LHRHt1k9lMyONurDHEdrp'}]",6p6Wab5m1yqyp4NzRevTft,2015-08-24,True,excited,26
46,Down with the Sickness,4ImIJRZNJhNQLLdUFSYJoS,4,68,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TOqt5oJwL9BE2NG9MEwDa'}, 'href': 'https://api.spotify.com/v1/artists/3TOqt5oJwL9BE2NG9MEwDa', 'id': '3TOqt5oJwL9BE2NG9MEwDa', 'name': 'Disturbed', 'type': 'artist', 'uri': 'spotify:artist:3TOqt5oJwL9BE2NG9MEwDa'}]",07w0hGS9XUdFsPBvDHy16y,2010-03-12,True,excited,26
47,Don't,3pXF1nA74528Edde4of9CC,5,80,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs'}, 'href': 'https://api.spotify.com/v1/artists/2EMAnMvWE2eb56ToJVfCWs', 'id': '2EMAnMvWE2eb56ToJVfCWs', 'name': 'Bryson Tiller', 'type': 'artist', 'uri': 'spotify:artist:2EMAnMvWE2eb56ToJVfCWs'}]",6eZdwrhB97A3EYx9QppGfl,2015-10-02,True,excited,26
